House,Date,Con,Lab,LD
NOP,06/11/1981,29.2,38.2,30.6
MORI,27/10/1981,27,31,40
Gallup/Telegraph,26/10/1981,29.5,28,40
NOP,08/10/1981,32.1,40.4,24.7
MORI,28/09/1981,28,42,28
MORI,18/09/1981,27,38,33
Gallup/Telegraph,14/09/1981,32,36.5,29
NOP,11/09/1981,33.5,37.4,27.7
Gallup/Telegraph,17/08/1981,28,38.5,32.5
NOP,07/08/1981,31.6,42.1,24.3
MORI,1981-07-31*,30,39,29
Gallup/Telegraph,13/07/1981,30,40.5,26.5
NOP,09/07/1981,31.5,41.2,24.2
MORI,1981-06-30*,30,36,31
MORI,22/06/1981,31,39,28
MORI,16/06/1981,37,39,22
Gallup/Telegraph,15/06/1981,29.5,37.5,30.5
NOP,05/06/1981,37.7,39.3,20.8
MORI,30/05/1981,35,39,24
Gallup/Telegraph,11/05/1981,32,35.5,29
MORI,11/05/1981,38,41,19
NOP,07/05/1981,30.9,39.3,26.6
MORI,27/04/1981,30,38,29
Gallup/Telegraph,13/04/1981,30,34.5,33
NOP,03/04/1981,35.9,42.1,19.5
MORI,23/03/1981,33,41,25
MORI,23/03/1981,28,38,32
Gallup/Telegraph,16/03/1981,30,34,32
NOP,02/03/1981,37,41.1,16.5
NOP,13/02/1981,34.5,50.9,12.2
Gallup/Telegraph,11/02/1981,36,35.5,26.5
MORI,24/01/1981,35,45,17
Gallup/Telegraph,19/01/1981,33,46.5,18.5
NOP,09/01/1981,35.4,51.2,11.9
MORI,19/12/1980,32,56,11
Gallup/Telegraph,15/12/1980,35,47.5,14.5
NOP,04/12/1980,37.2,47.7,12.6
Gallup/Telegraph,17/11/1980,36.5,47,15
MORI,11/11/1980,38,47,13
NOP,07/11/1980,39.4,46.5,12.4
MORI,1980-10-31*,36,50,13
Gallup/Telegraph,20/10/1980,40,43,13.5
Gallup/Telegraph,06/10/1980,40,43,13.5
NOP,02/10/1980,39.8,47.6,11
MORI,1980-09-30*,34,50,15
MORI,29/09/1980,37,46,15
Gallup/Telegraph,15/09/1980,35.5,45,16.5
NOP,05/09/1980,40,46.3,11.3
Gallup/Telegraph,18/08/1980,38.5,44,14.5
NOP,01/08/1980,38.1,47.3,11.7
MORI,1980-07-31*,37,48,13
MORI,27/07/1980,37,47,13
Gallup/Telegraph,14/07/1980,40,43.5,14
NOP,03/07/1980,41,46.9,10.4
MORI,23/06/1980,41,43,13
Gallup/Telegraph,16/06/1980,40.5,45,11.5
NOP,06/06/1980,43,43.3,11.7
Gallup/Telegraph,19/05/1980,39,43.5,15.5
NOP,01/05/1980,41.4,46.5,10.7
MORI,28/04/1980,39,44,14
Gallup/Telegraph,14/04/1980,36.5,45,15
NOP,11/04/1980,35.5,49.6,10.9
MORI,28/03/1980,42,46,9
Gallup/Telegraph,17/03/1980,37,49.5,11.5
NOP,05/03/1980,35.7,51.9,11.2
MORI,1980-02-29*,38,46,13
MORI,25/02/1980,38,46,14
Gallup/Telegraph,11/02/1980,37.5,42,18
NOP,08/02/1980,37.2,50.3,10.7
MORI,19/01/1980,39,47,12
Gallup/Telegraph,14/01/1980,36,45,16
NOP,04/01/1980,40.1,48.5,9.5
MORI,1979-12-31*,40,43,14
Gallup/Telegraph,10/12/1979,38,42,18
NOP,06/12/1979,42.1,46.3,10.1
MORI,02/12/1979,40,45,13
Gallup/Telegraph,12/11/1979,39,43.5,15.5
NOP,09/11/1979,40.9,47.2,10
Gallup/Telegraph,15/10/1979,40.5,45,12.5
NOP,06/10/1979,44.9,46,7.4
MORI,1979-09-30*,41,46,11
Gallup/Telegraph,17/09/1979,40.5,45,12
NOP,02/09/1979,42.8,47.3,8.6
MORI,1979-08-31*,42,43,12
Gallup/Telegraph,13/08/1979,41.5,44,12.5
NOP,05/08/1979,43.1,45.4,9.5
MORI,1979-07-31*,44,45,9
Gallup/Telegraph,16/07/1979,41,46,11.5
NOP,07/07/1979,44.2,45.5,8.2
Gallup/Telegraph,18/06/1979,42,43.5,12
