House,Date,Con,Lab,LD
Gallup/Telegraph,10/03/1992,37,38,20
NOP/Mail on Sunday,07/03/1992,38,41,16
ICM/Guardian,07/03/1992,39,42,15
Harris/Observer,06/03/1992,39,40,14
Gallup/Telegraph,02/03/1992,38.5,38.5,18.5
Gallup/Telegraph,25/02/1992,37,37.5,20
MORI/Sunday Times,25/02/1992,39,40,18
Audience Selection,23/02/1992,36,38,18
ICM/Daily Mail,22/02/1992,38,41,17
Gallup/Telegraph,18/02/1992,39,37,19
NOP/Independent,17/02/1992,38,42,15
ICM/Sunday Express,14/02/1992,40,39,16
Harris/Observer,13/02/1992,39,40,15
Gallup/Telegraph,11/02/1992,40,37.5,17.5
ICM/Guardian,08/02/1992,40,40,16
NOP/Independent on Sunday,07/02/1992,38,42,15
Harris/Express,06/02/1992,39,40,17
Gallup/Telegraph,03/02/1992,42.5,37.5,14
Gallup/Telegraph,28/01/1992,38,39.5,17.5
Audience Selection,26/01/1992,40,40,15
ICM/Daily Mail,25/01/1992,41,40,13
Harris/Express,23/01/1992,41,40,14
Gallup/Telegraph,21/01/1992,40,38,16.5
MORI/Sunday Times,21/01/1992,42,39,16
ICM/Sunday Express,17/01/1992,41,42,14
Harris/Observer,16/01/1992,42,43,13
Gallup/Telegraph,13/01/1992,42,37.5,16
NOP/Independent,13/01/1992,40,43,13
ICM/Guardian,11/01/1992,42,41,12
NOP/Independent on Sunday,08/01/1992,40,45,12
MORI/Sunday Times,27/12/1991,38,44,14
Gallup/Sunday Telegraph,1991-12-15*,42,41.5,13
NOP/Independent on Sunday,13/12/1991,41,40,14
ICM/Guardian,07/12/1991,39,42,14
MORI/Times,05/12/1991,40,43,12
Gallup/Telegraph,02/12/1991,39.5,37,19
Audience Selection,1991-12-02*,39,40,16
MORI/Sunday Times,25/11/1991,40,42,15
NOP/Independent,25/11/1991,40,41,15
MORI/Sunday Times,23/11/1991,41,43,13
ICM/Daily Mail,23/11/1991,39,41,16
Harris/Observer,14/11/1991,39,44,13
ICM/Guardian,09/11/1991,41,43,13
Gallup/Telegraph,04/11/1991,36,44,15.5
MORI/Sunday Times,01/11/1991,42,41,13
Audience Selection,1991-10-28*,37,42,16
Harris/Observer,1991-10-27*,39,45,12
ICM/Daily Mail,26/10/1991,40,42,13
MORI/Sunday Times,21/10/1991,39,45,12
NOP/Independent,21/10/1991,39,45,12
Harris/Observer,17/10/1991,39,46,12
ICM/Guardian,12/10/1991,41,43,12
NOP/Independent on Sunday,05/10/1991,39,46,13
Gallup/Telegraph,04/10/1991,39.5,41.5,15
ICM/PA,03/10/1991,40,42,13
Gallup/Telegraph,30/09/1991,42,38,15
Audience Selection,1991-09-30*,41,37,14
ICM/Daily Mail,28/09/1991,40,42,14
Harris/Observer,26/09/1991,40,41,13
NOP/Mail on Sunday,26/09/1991,40,39,16
MORI/Sunday Times,24/09/1991,39,39,17
Gallup/Sunday Telegraph,23/09/1991,40,38.5,16
NOP/Independent,23/09/1991,39,42,14
MORI/Sunday Times,20/09/1991,39,43,14
ICM/Guardian,14/09/1991,39,39,17
ICM/Sunday Express,13/09/1991,41,37,17
Harris/Observer,12/09/1991,43,38,16
NOP/Independent on Sunday,07/09/1991,41,39,15
Gallup/Telegraph,02/09/1991,39.5,35,19.5
MORI/Sunday Times,27/08/1991,42,40,14
ICM/Daily Mail,24/08/1991,40,43,12
NOP/Independent,19/08/1991,38,44,12
Harris/Observer,15/08/1991,40,41,14
ICM/Guardian,10/08/1991,36,45,16
Gallup/Telegraph,05/08/1991,36,41,16.5
Audience Selection,1991-08-01*,39,40,15
Audience Selection,1991-07-29*,35,43,15
ICM/Express,24/07/1991,38,44,13
MORI/Sunday Times,22/07/1991,38,43,15
ICM/Daily Mail,20/07/1991,37,44,16
Harris/Observer,18/07/1991,39,42,14
NOP/Independent,15/07/1991,39,43,13
ICM/Guardian,06/07/1991,37,43,16
Gallup/Telegraph,01/07/1991,37,40.5,17
NOP/Mail on Sunday,27/06/1991,41,42,13
MORI/Sunday Times,24/06/1991,39,41,15
ICM/Daily Mail,21/06/1991,35,44,17
MORI/Sunday Express,21/06/1991,39,38,17
NOP/Independent,17/06/1991,37,45,14
Harris/Observer,13/06/1991,35,45,16
ICM/Guardian,08/06/1991,34,44,17
Gallup/Telegraph,03/06/1991,33.5,41.5,21
Harris/TV-AM,02/06/1991,36,43,15
NMR/Independent on Sunday,01/06/1991,37,43,16
Audience Selection,1991-06-01*,41,42,13
MORI/Sunday Times,28/05/1991,37,43,16
ICM/Daily Mail,25/05/1991,37,41,16
NOP/Independent,20/05/1991,36,44,15
Audience Selection,1991-05-18*,39,39,19
Harris/Observer,16/05/1991,38,42,16
ICM/Guardian,11/05/1991,37,43,16
Gallup/Telegraph,06/05/1991,38.5,38,18
Audience Selection,1991-04-29*,43,38,14
NMR/Independent on Sunday,27/04/1991,47,37,14
ICM/Daily Mail,27/04/1991,39,41,14
Harris/Sunday Express,26/04/1991,41,41,14
Gallup/Sunday Telegraph,26/04/1991,42,39,14
MORI/Sunday Times,22/04/1991,42,40,15
NOP/Independent,22/04/1991,41,41,13
Harris/Observer,18/04/1991,40,40,14
ICM/Guardian,06/04/1991,39,43,13
ICM/Express,1991-04-03*,38,40,19
Gallup/Telegraph,30/03/1991,39.5,34.5,18
MORI/Sunday Times,25/03/1991,40,40,16
ICM/Daily Mail,24/03/1991,41,40,15
MORI/Sunday Express,22/03/1991,38,44,15
ICM/Express,21/03/1991,37,40,14
Harris/Observer,14/03/1991,40,39,17
Audience Selection,1991-03-12*,44,32,19
NOP/Independent,11/03/1991,38,39,18
ICM/Guardian,09/03/1991,39,40,16
MORI/Sunday Express,08/03/1991,41,37,16
NOP,1991-03-05*,43,38,11
Harris/Observer,04/03/1991,47,39,9
Gallup/Telegraph,01/03/1991,45,36.5,13
MORI/Sunday Times,25/02/1991,44,41,11
ICM/Daily Mail,23/02/1991,44,43,9
NMR/Independent on Sunday,16/02/1991,47,40,8
Harris/Observer,14/02/1991,46,42,8
NOP/Independent,13/02/1991,45,42,9
ICM/Guardian,09/02/1991,44,42,9
Gallup/Telegraph,04/02/1991,42,42.5,10
Audience Selection,1991-02-04*,46,39,8
Harris/Observer,1991-02-03*,47,39,9
Audience Selection,1991-01-28*,51,34,8
MORI/Sunday Times,21/01/1991,46,41,9
Harris/Observer,17/01/1991,46,41,9
NOP/Independent,14/01/1991,43,44,8
ICM/Guardian,12/01/1991,43,43,10
Harris/ITN,11/01/1991,47,41,7
MORI/Times,10/01/1991,44,42,11
Gallup/Telegraph,07/01/1991,43,41.5,10
Audience Selection,1991-01-06*,39,43,11
MORI/Sunday Times,28/12/1990,41,45,9
Harris/Observer,13/12/1990,44,40,10
Gallup/Telegraph,10/12/1990,43,40.5,10.5
NOP/Independent,10/12/1990,47,42,7
ICM/Guardian,08/12/1990,45,43,9
Audience Selection,1990-12-03*,49,36,9
NMR/Independent on Sunday,01/12/1990,48,40,8
Harris/ITN,28/11/1990,49,38,9
Audience Selection,1990-11-26*,44,37,12
Gallup/Telegraph,26/11/1990,44,41,10
NOP/Independent,26/11/1990,49,38,9
Gallup/Sunday Telegraph,23/11/1990,43,41.5,11
ICM/Sunday Correspondent,23/11/1990,46,40,10
MORI/Sunday Times,19/11/1990,38,46,12
Gallup/Telegraph,19/11/1990,36,44.5,10.5
NOP/Independent,19/11/1990,40,45,11
Gallup /Sunday Telegraph,1990-11-18*,35,48,11
NMR/Independent on Sunday,17/11/1990,42,44,11
MORI/Sunday Times,16/11/1990,37,48,11
ICM/Sunday Correspondent,16/11/1990,37,49,9
Harris/ITN,1990-11-15*,34,49,13
Harris/Observer,15/11/1990,34,49,13
MORI/Times,15/11/1990,41,45,10
NOP/Independent,14/11/1990,32,46,15
ICM/Guardian,10/11/1990,33,49,13
NMR/Independent on Sunday,03/11/1990,32,49,13
NOP/Mail on Sunday,03/11/1990,30,51,12
Audience Selection,1990-10-29*,36,40,13
Gallup/Telegraph,29/10/1990,31.5,46,15.5
Harris/Observer,1990-10-28*,32,48,14
ICM/Sunday Correspondent,27/10/1990,34,44,14
MORI/Sunday Times,22/10/1990,33,49,14
NOP/Independent,22/10/1990,35,45,15
ICM/Guardian,13/10/1990,36,49,9
ICM/Sunday Correspondent,1990-10-07*,0,0,0
Gallup/Sunday Telegraph,01/10/1990,31.5,46,14
NMR/Independent on Sunday,29/09/1990,33,52,10
MORI/Sunday Times,24/09/1990,38,45,12
NOP/Independent,24/09/1990,39,44,12
ICM/Sunday Correspondent,22/09/1990,35,44,12
Harris/Observer,20/09/1990,38,46,10
ICM/Guardian,08/09/1990,37,50,8
Gallup/Telegraph,1990-09-08*,31.5,46,14
Gallup/Telegraph,03/09/1990,35.5,48,8.5
Audience Selection,1990-09-03*,38,45,6
Audience Selection,1990-09-01*,32,45,15
ICM/Sunday Correspondent,25/08/1990,37,51,6
Harris/Observer,23/08/1990,38,46,10
MORI/Sunday Times,20/08/1990,35,50,10
NOP/Independent,13/08/1990,36,48,7
ICM/Sunday Correspondent,1990-08-12*,0,0,0
ICM/Guardian,11/08/1990,38,49,9
Audience Selection,1990-07-30*,35,46,9
Gallup/Telegraph,30/07/1990,33.5,48,11.5
MORI/Sunday Times,23/07/1990,38,46,10
ICM/Sunday Correspondent,21/07/1990,36,52,7
Harris/Observer,19/07/1990,37,49,7
NOP/Independent,16/07/1990,37,50,7
ICM/Guardian,07/07/1990,35,51,8
Gallup/Telegraph,02/07/1990,36,47,9
Audience Selection,1990-07-02*,39,44,7
ICM/Sunday Correspondent,23/06/1990,36,53,5
Harris/Observer,21/06/1990,37,48,8
NOP/Independent,18/06/1990,37,48,8
MORI/Sunday Times,18/06/1990,38,49,8
ICM/Guardian,09/06/1990,35,54,5
NMR/Independent on Sunday,08/06/1990,36,49,9
Gallup/Telegraph,04/06/1990,29.5,53,7.5
Audience Selection,1990-05-28*,37,47,5
ICM/Sunday Correspondent,26/05/1990,36,50,5
Harris/Observer,24/05/1990,32,50,9
NOP/Independent,21/05/1990,34,49,8
MORI/Sunday Times,21/05/1990,35,48,8
ICM/Guardian,12/05/1990,32,50,8
NOP/Mail on Sunday,04/05/1990,34,47,8
Audience Selection,1990-04-30*,32,49,6
Gallup/Telegraph,30/04/1990,32,47,7.5
NOP/Independent on Sunday,28/04/1990,31,51,7
ICM/Sunday Correspondent,28/04/1990,30,53,8
MORI/Sunday Times,24/04/1990,31,54,6
NOP/Independent,22/04/1990,29,54,7
Harris/Observer,19/04/1990,32,54,7
NMR/Independent on Sunday,07/04/1990,30,54,5
ICM/Guardian,07/04/1990,32,56,4
ICM/Sunday Correspondent,06/04/1990,32,54,5
Gallup/Telegraph,02/04/1990,28,52.5,7.5
Audience Selection,1990-03-26*,30,51,6
NOP/Independent on Sunday,24/03/1990,33,52,6
ICM/Sunday Correspondent,23/03/1990,28,55,7
Harris/Observer,22/03/1990,29,57,6
MORI/Sunday Times,20/03/1990,31,54,6
NOP/Independent,12/03/1990,33,51,6
ICM/Guardian,10/03/1990,31,52,5
Gallup/Telegraph,26/02/1990,31,49.5,7
Audience Selection,1990-02-26*,34,46,7
ICM/Sunday Correspondent,24/02/1990,33,52,6
Harris/Observer,22/02/1990,36,48,8
MORI/Sunday Times,19/02/1990,34,51,5
NOP/Independent,12/02/1990,36,48,6
ICM/Guardian,10/02/1990,36,51,5
Gallup/Telegraph,29/01/1990,32.5,48,8
Audience Selection,1990-01-29*,38,47,5
ICM/Sunday Correspondent,27/01/1990,37,48,4
Harris/Observer,25/01/1990,36,49,6
MORI/Sunday Times,22/01/1990,36,48,5
Harris/Observer,18/01/1990,37,48,6
NOP/Independent,15/01/1990,40,44,7
ICM/Guardian,13/01/1990,38,47,5
Gallup/Telegraph,08/01/1990,35,45.5,7.5
MORI/Sunday Times,28/12/1989,39,46,6
Audience Selection,1989-12-18*,40,42,6
ICM/Sunday Correspondent,17/12/1989,38,49,4
Harris/Observer,14/12/1989,39,46,6
ICM/Guardian,08/12/1989,37,49,4
NOP,04/12/1989,38,45,7
Gallup/Telegraph,04/12/1989,37.5,43.5,9
MORI,27/11/1989,42,46,5
Audience Selection,1989-11-27*,37,44,4
MORI/Sunday Times,1989-11-26*,37,51,4
ICM/Sunday Correspondent,25/11/1989,38,48,3
Harris/Observer,23/11/1989,36,47,9
NOP,13/11/1989,34,46,9
ICM/Guardian,11/11/1989,36,49,6
Harris/BBC,1989-10-31*,37,50,6
Audience Selection,1989-10-30*,33,50,4
Gallup/Telegraph,30/10/1989,35,44,8
MORI/Sunday Times,1989-10-29*,39,46,0
NOP/Mail on Sunday,28/10/1989,41,47,6
MORI /Sunday Times,23/10/1989,38,48,5
ICM/Sunday Correspondent,21/10/1989,35,50,4
Harris/Observer,19/10/1989,38,48,6
Gallup/Telegraph,09/10/1989,38,47.5,4.5
ICM/Guardian,07/10/1989,39,49,4
Harris/Observer,05/10/1989,38,49,5
NOP/Evening Standard,04/10/1989,37,46,5
ICM/PA,03/10/1989,37,45,4
Audience Selection,1989-10-03*,37,39,6
Gallup/Telegraph,02/10/1989,35,41.5,8.5
Harris/Observer,28/09/1989,38,45,5
MORI/Sunday Times,26/09/1989,38,43,6
Gallup/Sunday Telegraph,25/09/1989,36.5,42,7.5
NOP/Mail on Sunday,25/09/1989,34,46,7
ICM/Sunday Correspondent,23/09/1989,39,45,4
Harris/Observer,20/09/1989,39,42,6
Harris/Observer,14/09/1989,37,45,6
MORI /Times,1989-09-10*,0,0,0
ICM/Guardian,09/09/1989,36,46,7
Gallup/Telegraph,04/09/1989,36.5,43,6.5
NOP/Independent,04/09/1989,38,40,8
Audience Selection,1989-08-28*,37,42,5
ICM/Sunday Correspondent,26/08/1989,38,46,6
Harris/Observer,24/08/1989,37,45,7
NOP,21/08/1989,40,41,7
MORI/Sunday Times,21/08/1989,40,45,4
ICM/Guardian,12/08/1989,36,44,6
Audience Selection,1989-07-31*,38,41,4
MORI/Sunday Times,26/07/1989,36,45,4
Harris/Observer,20/07/1989,37,44,6
NOP,10/07/1989,36,42,7
ICM/Guardian,08/07/1989,38,42,5
Gallup/Telegraph,07/07/1989,34,44.5,5.5
Gallup/Telegraph,03/07/1989,34,47,6
Audience Selection,1989-07-03*,35,43,4
MORI/Sunday Times,27/06/1989,37,47,4
Harris/Observer,22/06/1989,34,48,6
NOP,12/06/1989,40,42,8
ICM/Guardian,10/06/1989,38,42,8
MORI /Times,1989-06-10*,39,44,7
Gallup/Telegraph,05/06/1989,36.5,43.5,8
Audience Selection,1989-05-29*,41,45,6
Harris/Observer,23/05/1989,46,41,7
NOP,22/05/1989,42,41,8
MORI/Sunday Times,22/05/1989,41,43,7
ICM/Guardian,13/05/1989,43,43,8
Gallup/Telegraph,01/05/1989,40.5,37.5,10
Audience Selection,1989-04-30*,42,38,7
NOP,24/04/1989,43,37,9
MORI/Sunday Times,24/04/1989,41,41,9
Harris/Observer,20/04/1989,42,39,11
ICM/Guardian,08/04/1989,44,40,7
Gallup/Telegraph,03/04/1989,37.5,40,10
MORI /Times,1989-03-27*,43,39,8
Harris/Observer,23/03/1989,41,41,9
NOP,20/03/1989,42,37,0
MORI/Sunday Times,1989-03-19*,41,40,9
MORI/Sunday Times,19/03/1989,44,40,6
ICM/Guardian,13/03/1989,41,39,8
MORI/BBC,1989-03-05*,41,37,9
MORI,28/02/1989,42,41,8
MORI/Sunday Times,28/02/1989,42,39,9
Audience Selection,1989-02-27*,44,35,7
Gallup/Telegraph,27/02/1989,37.5,37.5,11.5
Harris/Observer,23/02/1989,41,42,10
NOP,20/02/1989,41,37,11
Gallup/Sunday Telegraph,20/02/1989,39,39,11
Gallup/Telegraph,13/02/1989,40.5,39,11.5
ICM/Guardian,11/02/1989,42,39,7
MORI/Sunday Times,30/01/1989,47,36,8
Audience Selection,1989-01-30*,44,39,8
Harris/BBC,29/01/1989,50,37,6
NOP,23/01/1989,46,34,10
Harris/Observer,19/01/1989,47,37,10
Gallup/Telegraph,16/01/1989,42.5,34,14
ICM/Guardian,16/01/1989,44,40,8
Harris/Channel 4,15/01/1989,44,41,10
Audience Selection,1988-12-31*,45,37,8
MORI/Sunday Times,29/12/1988,46,36,6
Gallup/Telegraph,12/12/1988,43,32,13
Marplan/Guardian,06/12/1988,45,39,8
NOP,02/12/1988,41,36,11
MORI/Sunday Times,30/11/1988,45,37,8
MORI,1988-11-30*,44,39,8
Audience Selection,1988-11-28*,40,39,9
Harris/Observer,24/11/1988,44,39,9
Gallup/Telegraph,14/11/1988,42.5,36,12.5
NOP,07/11/1988,45,36,10
Marplan/Guardian,07/11/1988,42,42,8
MORI/Sunday Times,31/10/1988,44,39,8
Audience Selection,1988-10-31*,46,35,7
Gallup/Telegraph,24/10/1988,45.5,34,12.5
Harris/Observer,20/10/1988,49,40,7
NOP,12/10/1988,46,36,9
Marplan,1988-10-11*,45,40,8
Marplan/Guardian,11/10/1988,44,40,7
MORI,1988-10-10*,46,39,8
Harris/TV-AM,29/09/1988,48,36,11
MORI/Sunday Times,26/09/1988,44,39,8
Harris/Observer,22/09/1988,47,38,8
Marplan/Guardian,14/09/1988,44,42,9
NOP,14/09/1988,46,38,8
Audience Selection,1988-09-12*,42,40,8
Gallup/Telegraph,12/09/1988,43,36.5,12.5
MORI/Sunday Times,22/08/1988,50,36,8
Gallup/Telegraph,15/08/1988,45.5,33.5,10.5
Marplan/Guardian,09/08/1988,45,41,7
NOP,25/07/1988,46,36,10
MORI/Sunday Times,25/07/1988,46,41,8
Harris/Observer,21/07/1988,46,41,9
Gallup/Telegraph,18/07/1988,41.5,39,9
Marplan/Guardian,12/07/1988,45,43,6
MORI,1988-07-11*,48,38,7
Harris/TV-AM,03/07/1988,47,38,9
MORI/Sunday Times,28/06/1988,48,38,7
Audience Selection,1988-06-28*,45,38,8
NOP,27/06/1988,49,34,10
Harris/Observer,23/06/1988,48,36,9
Gallup/Telegraph,13/06/1988,42,43,7
MORI,1988-06-11*,47,40,7
Marplan/Guardian,07/06/1988,47,42,5
Harris/TV-AM,04/06/1988,43,40,12
MORI/Sunday Times,01/06/1988,44,40,7
Audience Selection,1988-05-29*,40,43,6
NOP,23/05/1988,47,37,8
Harris/Observer,19/05/1988,44,41,10
Gallup/Telegraph,16/05/1988,45,36,8.5
Marplan/Guardian,10/05/1988,44,42,7
Harris/TV-AM,1988-05-02*,43,38,11
MORI/Sunday Times,26/04/1988,44,42,6
Harris/Observer,21/04/1988,44,39,10
Gallup/Telegraph,18/04/1988,40.5,41.5,11
Marplan/Guardian,12/04/1988,43,42,8
NOP,11/04/1988,45,36,15
MORI/Sunday Times,28/03/1988,46,37,8
Harris/Observer,24/03/1988,46,39,11
Gallup/Telegraph,21/03/1988,42,36.5,13
MORI,1988-03-20*,46,39,6
Audience Selection,13/03/1988,45,40,11
Marplan/Guardian,08/03/1988,43,42,14
Harris/Observer,03/03/1988,47,36,12
MORI/Sunday Times,01/03/1988,46,38,14
Harris,1988-02-29*,44,43,12
Gallup/Telegraph,15/02/1988,46,36,15
Audience Selection,14/02/1988,45,41,11
Marplan/Guardian,09/02/1988,45,41,8
NOP,08/02/1988,45,37,14
MORI/Sunday Times,26/01/1988,50,36,12
Gallup/Telegraph,18/01/1988,45.5,37,15
NOP,11/01/1988,47,35,16
Marplan/Guardian,11/01/1988,42,40,17
MORI/Sunday Times,30/12/1987,48,36,15
NOP,14/12/1987,47,35,15
Marplan/Guardian,08/12/1987,47,37,13
Gallup/Telegraph,07/12/1987,46.5,34.5,16
NOP,30/11/1987,49,34,15
MORI/Sunday Times,25/11/1987,50,38,11
Gallup/Telegraph,16/11/1987,46.5,33,17
NOP,03/11/1987,45,36,15
MORI/Sunday Times,26/10/1987,47,37,14
Gallup/Telegraph,19/10/1987,52,31.5,13.5
MORI/Sunday Times,19/10/1987,50,34,14
Marplan/Guardian,13/10/1987,45,39,13
MORI/Sunday Times,30/09/1987,49,36,12
NOP,28/09/1987,50,34,13
Gallup/Sunday Telegraph,21/09/1987,48,35.5,14
Harris/Observer,20/09/1987,47,35,16
Gallup/Telegraph,07/09/1987,44,33,20
NOP,03/09/1987,49,33,16
MORI/Sunday Times,26/08/1987,48,36,14
NOP,24/08/1987,48,33,17
Gallup/Telegraph,17/08/1987,45.5,35.5,17.5
MORI/Sunday Times,28/07/1987,49,33,17
Harris/Observer,16/07/1987,48,33,17
Gallup/Telegraph,13/07/1987,44.5,33,20.5
Harris/TV-AM,02/07/1987,42,36,20
MORI/Sunday Times,01/07/1987,49,31,17
NOP,1987-06-29*,42,33,23
