House,Date,Con,Lab,LD
NOP,22/01/1976,43.9,40.5,11.4
Gallup/Telegraph,19/01/1976,40.5,42,14
NOP,16/12/1975,45.4,38.3,11.7
Gallup/Telegraph,16/12/1975,40.5,41,14
NOP,30/11/1975,44.5,37.4,14.9
Gallup/Telegraph,17/11/1975,39,44.5,12.5
NOP,16/11/1975,43.6,41.2,12.7
NOP,30/10/1975,43.4,41.5,11.8
Gallup/Telegraph,20/10/1975,42.5,40.5,13.5
Gallup/Telegraph,22/09/1975,38.5,41.5,16.5
NOP,07/09/1975,45.7,40.8,10.3
Gallup/Telegraph,18/08/1975,40.5,42,14
NOP,17/08/1975,44.4,40.3,11.6
Gallup/Telegraph,14/07/1975,43,40.5,12.5
NOP,1975-06-29*,48.8,37.2,10.4
Gallup/Telegraph,16/06/1975,44,40.5,13
NOP,01/06/1975,42,43.6,10.7
Gallup/Telegraph,19/05/1975,45.5,39.5,11
NOP,11/05/1975,42.9,40.2,13
NOP,27/04/1975,42.4,43.5,10.9
Gallup/Telegraph,14/04/1975,43,45,10
NOP,06/04/1975,44.8,43.3,9.1
Gallup/Telegraph,17/03/1975,42,44,11
NOP,02/03/1975,40.8,46.4,10.3
Gallup/Telegraph,17/02/1975,45,41,11
NOP,09/02/1975,38.6,46,11.1
NOP,02/02/1975,38.1,43.8,14.6
NOP,19/01/1975,32.4,47.8,15.9
Gallup/Telegraph,13/01/1975,34,48.5,13
Gallup/Telegraph,16/12/1974,33,47,16.5
NOP,01/12/1974,38.4,47.7,11.1
Gallup/Telegraph,18/11/1974,35,46.5,14.5
NOP,27/10/1974,36.6,43.7,15.1
