House,Date,Con,Lab,LD
CommRes/Independent on Sunday,25/11/2004,31,42,20
ICM/Guardian,14/11/2004,30,38,22
NOP/Independent,14/11/2004,30,39,20
MORI,08/11/2004,31,35,23
Populus/Times,07/11/2004,33,34,22
YouGov/Telegraph,29/10/2004,32,36,22
CommRes/Independent on Sunday,28/10/2004,33,39,17
MORI,27/10/2004,29,39,22
ICM/Guardian,24/10/2004,31,37,23
ICM/Sunday Telegraph,07/10/2004,30,39,23
YouGov/Mail on Sunday,02/10/2004,29,35,22
Populus/Times,02/10/2004,28,35,25
Populus/News of the World,24/09/2004,32,28,29
YouGov/Telegraph,23/09/2004,34,36,21
ICM/Guardian,19/09/2004,32,36,22
MORI,14/09/2004,33,32,25
Populus/Times,05/09/2004,30,32,26
YouGov/Telegraph,26/08/2004,34,34,21
MORI/FT,16/08/2004,32,36,21
ICM/Guardian,15/08/2004,33,36,22
Populus/Times,01/08/2004,32,32,24
YouGov/Telegraph,28/07/2004,33,34,23
MORI/Independent on Sunday,27/07/2004,31,32,24
Populus/News of the World,23/07/2004,28,30,28
ICM/Guardian,18/07/2004,30,35,25
Populus/Times,04/07/2004,29,33,24
MORI,29/06/2004,31,34,19
YouGov/Telegraph,24/06/2004,34,33,21
ICM/Guardian,13/06/2004,31,34,22
Populus/Times,06/06/2004,29,31,22
MORI,01/06/2004,34,35,18
YouGov/Telegraph,27/05/2004,34,33,21
ICM/Guardian,23/05/2004,33,37,21
YouGov/Sunday Times,15/05/2004,34,37,20
Populus/Times,09/05/2004,36,32,22
YouGov/Mail on Sunday,08/05/2004,40,36,18
YouGov/Telegraph,29/04/2004,39,35,19
MORI,19/04/2004,34,36,22
ICM/Guardian,18/04/2004,33,38,22
Populus/Times,04/04/2004,34,34,22
YouGov/Telegraph,25/03/2004,39,34,20
MORI,16/03/2004,35,35,23
ICM/Guardian,11/03/2004,35,37,21
Populus/Times,07/03/2004,34,36,22
YouGov/Telegraph,26/02/2004,39,34,21
ICM/Guardian,22/02/2004,34,36,21
MORI/FT,16/02/2004,35,36,21
Populus/Times,08/02/2004,31,36,25
ICM/News of the World,05/02/2004,34,34,24
NOP/Independent,05/02/2004,36,35,24
YouGov/Telegraph,22/01/2004,40,35,19
MORI,20/01/2004,35,37,21
ICM/Guardian,20/01/2004,34,39,20
Populus/Times,06/01/2004,35,40,18
2003,,,,
YouGov/Telegraph,17/12/2003,39,38,18
MORI/FT,17/12/2003,31,40,22
ICM/Guardian,14/12/2003,33,38,22
Populus/Times,07/12/2003,33,36,22
YouGov/Mail on Sunday,06/12/2003,36,36,18
YouGov/Telegraph,27/11/2003,38,36,19
MORI,25/11/2003,35,36,22
ICM/Guardian,16/11/2003,33,38,21
YouGov/Sunday Times,14/11/2003,36,39,20
Populus/Times,09/11/2003,31,36,25
YouGov/Mail on Sunday,08/11/2003,34,36,24
MORI/Independent,02/11/2003,32,38,25
YouGov/Telegraph,31/10/2003,34,36,23
MORI,28/10/2003,35,38,21
ICM/Guardian,19/10/2003,33,38,21
YouGov/Mail on Sunday,18/10/2003,34,34,25
YouGov/Mail on Sunday,11/10/2003,38,33,22
Populus/Times,05/10/2003,31,36,26
YouGov/Mail on Sunday,03/10/2003,33,34,26
YouGov/Telegraph,02/10/2003,33,33,28
NOP/Independent,27/09/2003,29,38,27
YouGov/Sunday Times,26/09/2003,33,30,30
ICM/News of the World,26/09/2003,31,31,31
YouGov/Telegraph,25/09/2003,32,31,30
ICM/Guardian,21/09/2003,30,35,28
MORI/FT,16/09/2003,31,40,21
Populus/Times,06/09/2003,34,39,19
YouGov/Mail on Sunday,05/09/2003,37,36,18
MORI,02/09/2003,34,36,24
YouGov/Telegraph,28/08/2003,37,35,20
ICM/Guardian,17/08/2003,32,37,22
YouGov/Mail on Sunday,08/08/2003,38,34,21
Populus/Times,03/08/2003,32,34,25
YouGov/Telegraph,24/07/2003,37,34,22
MORI,22/07/2003,38,35,21
ICM/Guardian,20/07/2003,34,36,22
Populus/Times,06/07/2003,34,36,21
MORI/News of the World,27/06/2003,35,35,19
YouGov/Telegraph,26/06/2003,37,35,21
MORI,24/06/2003,32,41,19
ICM/Guardian,22/06/2003,34,38,21
YouGov/Mail on Sunday,20/06/2003,36,37,20
Populus/Times,15/06/2003,33,37,20
YouGov/Telegraph,29/05/2003,36,37,20
MORI,28/05/2003,31,39,22
ICM/Guardian,18/05/2003,29,42,21
Populus/Times,04/05/2003,34,36,22
MORI,28/04/2003,29,43,21
YouGov/Telegraph,24/04/2003,32,40,21
ICM/Guardian,19/04/2003,30,42,21
YouGov/Mail on Sunday,11/04/2003,33,41,18
YouGov/Telegraph,27/03/2003,33,40,20
MORI,24/03/2003,29,43,21
ICM/Guardian,16/03/2003,32,38,24
Populus/Times,09/03/2003,34,34,24
YouGov/Telegraph,27/02/2003,31,35,26
MORI,25/02/2003,29,41,22
YouGov/Telegraph,18/02/2003,33,34,26
ICM/Guardian,16/02/2003,31,39,22
Populus/Times,09/02/2003,34,35,25
YouGov/Telegraph,30/01/2003,32,36,24
MORI,27/01/2003,31,40,22
YouGov/Sunday Times,24/01/2003,31,37,24
ICM/Guardian,19/01/2003,30,43,21
YouGov/Mail on Sunday,17/01/2003,31,37,25
YouGov/Mail on Sunday,04/01/2003,31,38,23
Live Strategy (Populus)/Times,04/01/2003,32,37,25
2002,,,,
MORI/FT,17/12/2002,33,37,24
ICM/Guardian,15/12/2002,27,41,23
YouGov/Mail on Sunday,06/12/2002,31,38,23
YouGov/Mail on Sunday,29/11/2002,31,40,21
YouGov/Sunday Times,22/11/2002,30,39,23
MORI/FT,19/11/2002,30,42,21
YouGov/Sunday Times,16/11/2002,31,41,21
YouGov/Mail on Sunday,01/11/2002,31,40,21
YouGov/Sunday Times,25/10/2002,31,40,22
ICM/Guardian,20/10/2002,32,43,20
YouGov/Mail on Sunday,12/10/2002,33,40,21
YouGov/Telegraph,03/10/2002,31,40,22
ICM/News of the World,03/10/2002,27,42,23
YouGov/Sunday Times,27/09/2002,32,40,22
ICM/Guardian,22/09/2002,34,39,20
YouGov/Sunday Times,30/08/2002,33,39,21
ICM/Guardian,25/08/2002,32,41,21
YouGov/Sunday Times,23/08/2002,33,40,20
YouGov/Mail on Sunday,02/08/2002,34,40,20
ICM/Guardian,27/07/2002,32,42,20
YouGov/Sunday Times,26/07/2002,34,40,20
MORI/FT,22/07/2002,27,48,18
YouGov/Mail on Sunday,05/07/2002,34,39,20
NOP/Telegraph,24/06/2002,31,41,19
MORI,24/06/2002,29,48,17
ICM/Guardian,23/06/2002,32,42,20
YouGov/Sunday Times,21/06/2002,35,38,20
YouGov/Mail on Sunday,19/06/2002,33,39,20
YouGov/Mail on Sunday,08/06/2002,33,39,21
YouGov/Sunday Times,31/05/2002,32,40,20
MORI,28/05/2002,30,46,17
YouGov/Sunday Times,24/05/2002,32,40,21
ICM/Guardian,19/05/2002,34,42,19
YouGov/Sunday Times,26/04/2002,32,44,18
MORI,22/04/2002,27,50,16
ICM/Guardian,21/04/2002,29,45,18
MORI,26/03/2002,28,47,19
ICM/Guardian,17/03/2002,34,43,17
YouGov/Mail on Sunday,07/03/2002,31,42,20
MORI/Times,26/02/2002,28,51,16
ICM/Guardian,17/02/2002,30,47,18
MORI/Times,28/01/2002,27,51,16
YouGov/Mail on Sunday,12/01/2002,30,42,21
ICM/Guardian,20/01/2002,30,45,19
2001,,,,
ICM/Guardian,16/12/2001,29,44,20
MORI/Times,27/11/2001,25,56,15
ICM/Guardian,18/11/2001,29,46,19
MORI/Times,22/10/2001,25,57,13
ICM/Guardian,20/10/2001,29,47,19
MORI/Times,25/09/2001,27,53,15
ICM/Guardian,16/09/2001,29,46,20
MORI/Times,28/08/2001,25,53,16
ICM/Guardian,19/08/2001,30,46,17
MORI/Times,23/07/2001,25,52,17
ICM/Guardian,15/07/2001,30,46,18
MORI/Times,23/07/2001,25,49,19
