House,Date,Con,Lab,LD
YouGov/Sun, 2010-03-10,37,32,17
YouGov/Sun, 2010-03-09,36,32,20
YouGov/Sun, 2010-03-08,39,34,16
Opinium/Express, 2010-03-08,37,30,16
Harris/Metro, 2010-03-08,37,29,18
YouGov/Sunday Times, 2010-03-05,38,33,17
BPIX/Mail on Sunday, 2010-03-05,36,34,18
YouGov/Sun, 2010-03-04,38,32,17
ICM/News of the World, 2010-03-04,40,31,18
YouGov/Sun, 2010-03-03,38,32,19
TNS BMRB/, 2010-03-03,39,31,19
YouGov/Sun, 2010-03-02,38,33,16
YouGov/Sun, 2010-03-01,39,32,17
ComRes/Independent, 2010-02-28,37,32,19
YouGov/Sunday Times, 2010-02-26,37,35,17
Opinium/, 2010-02-26,39,29,15
YouGov/Sun, 2010-02-25,39,33,16
YouGov/Sun, 2010-02-24,38,32,19
TNS BMRB/, 2010-02-24,36,32,21
YouGov/Sun, 2010-02-23,38,32,17
YouGov/Sun, 2010-02-22,39,33,17
Ipsos-MORI/Telegraph, 2010-02-22,37,32,19
Harris/Metro, 2010-02-22,39,30,22
ICM/Guardian, 2010-02-21,37,30,20
Angus Reid/Political Betting, 2010-02-19,38,26,19
YouGov/Sunday Times, 2010-02-19,39,33,17
Opinium/, 2010-02-19,40,27,17
ComRes/Theos, 2010-02-18,38,30,20
YouGov/Sun, 2010-02-18,39,32,18
Angus Reid/Political Betting, 2010-02-17,40,26,18
YouGov/Sun, 2010-02-17,39,30,18
Opinium/, 2010-02-13,39,29,14
ComRes/Independent on Sunday, 2010-02-11,40,29,21
Angus Reid/Political Betting, 2010-02-10,38,25,20
Populus/Times, 2010-02-07,40,30,20
Opinium/, 2010-02-06,38,32,15
ICM/Sunday Telegraph, 2010-02-04,39,30,20
ComRes/Independent, 2010-01-31,38,31,19
BPIX/Mail on Sunday, 2010-01-30,39,30,18
YouGov/Telegraph, 2010-01-29,38,31,19
Opinium/, 2010-01-29,39,32,15
YouGov/People, 2010-01-28,40,31,18
Ipsos-MORI/Mirror, 2010-01-28,40,32,16
Angus Reid/PoliticalBetting, 2010-01-27,40,24,19
ICM/Guardian, 2010-01-24,40,29,21
Opinium/, 2010-01-23,37,30,15
ComRes/Sunday Mirror, 2010-01-21,38,29,19
Opinium/, 2010-01-15,36,32,15
YouGov/Sunday Times, 2010-01-15,40,31,18
ComRes/Independent on Sunday, 2010-01-14,42,29,19
Populus/Times, 2010-01-10,41,28,19
Angus Reid/PoliticalBetting, 2010-01-10,40,24,20
Opinium/, 2010-01-08,38,32,15
ICM/Sunday Telegraph, 2010-01-07,40,30,18
YouGov/The Sun, 2010-01-07,42,30,16
YouGov/The Sun, 2010-01-06,40,31,17
2009,,,,
YouGov/Telegraph, 2009-12-30,40,30,17
Opinium/, 2009-12-24,39,32,13
ComRes/Independent, 2009-12-20,38,29,19
Angus Reid/PoliticalBetting, 2009-12-18,40,24,20
Opinium/, 2009-12-18,38,28,15
YouGov/People, 2009-12-17,40,28,18
Ipsos-MORI/Observer, 2009-12-13,43,26,20
ICM/Guardian, 2009-12-13,40,31,18
YouGov/Sunday Times, 2009-12-11,40,31,16
BPIX/Mail on Sunday, 2009-12-11,41,30,17
ComRes/Independent on Sunday, 2009-12-10,41,24,21
Angus Reid/PoliticalBetting, 2009-12-10,40,23,19
Populus/Times, 2009-12-06,38,30,20
YouGov/Sunday Times, 2009-12-04,40,27,18
Opinium/, 2009-12-04,37,30,12
ICM/Sunday Telegraph, 2009-12-03,40,29,19
ComRes/Independent, 2009-11-29,37,27,20
Opinium/, 2009-11-27,39,32,17
YouGov/Telegraph, 2009-11-26,39,29,19
Angus Reid/Political Betting, 2009-11-23,39,22,21
Opinium/, 2009-11-20,38,30,12
Ipsos-MORI/Observer, 2009-11-15,37,31,17
ICM/Guardian, 2009-11-15,42,29,19
Opinium/, 2009-11-13,39,29,16
YouGov/Sunday Times, 2009-11-13,41,27,18
ComRes/Independent on Sunday, 2009-11-12,39,25,17
Populus/Times, 2009-11-08,39,29,18
Opinium/, 2009-11-06,40,29,14
Angus Reid/PoliticalBetting, 2009-11-05,38,24,20
YouGov/Channel 4, 2009-11-05,41,27,17
Opinium/, 2009-10-30,41,30,15
YouGov/Telegraph, 2009-10-29,41,28,16
ICM/Sunday Telegraph, 2009-10-29,42,25,21
ComRes/Independent, 2009-10-25,40,27,18
YouGov/Telegraph, 2009-10-23,40,27,19
Opinium/, 2009-10-23,40,29,15
ICM/Guardian, 2009-10-18,44,27,18
Ipsos-MORI/, 2009-10-18,43,26,19
Angus Reid/Political Betting, 2009-10-16,40,23,20
YouGov/Sunday Times, 2009-10-16,41,30,17
Opinium/, 2009-10-16,41,30,15
ComRes/Independent on Sunday, 2009-10-15,40,28,19
Populus/Times, 2009-10-11,40,30,18
BPIX/Mail on Sunday, 2009-10-09,43,29,16
YouGov/Sun, 2009-10-09,42,28,19
BPIX/Daily Mail, 2009-10-09,42,28,18
YouGov/Sky News, 2009-10-09,44,27,17
Opinium/, 2009-10-09,40,30,15
ICM/News of the World, 2009-10-08,45,26,18
YouGov/Sky News, 2009-10-08,40,31,18
YouGov/Sky News, 2009-10-07,43,29,17
YouGov/Sky News, 2009-10-06,41,28,18
YouGov/Sky News, 2009-10-05,40,27,20
YouGov/People, 2009-10-02,40,28,18
YouGov/SkyNews, 2009-10-02,41,29,17
Opinium/, 2009-10-02,42,29,16
ComRes/Independent on Sunday, 2009-10-01,40,28,19
YouGov/Sky News, 2009-10-01,40,26,20
YouGov/Sky News, 2009-09-30,37,30,21
YouGov/SkyNews, 2009-09-29,40,29,18
YouGov/SkyNews, 2009-09-28,39,29,20
Ipsos-MORI/, 2009-09-27,36,24,25
ComRes/Independent, 2009-09-27,38,23,23
YouGov/SkyNews, 2009-09-25,40,24,21
BPIX/Mail on Sunday, 2009-09-25,40,25,22
Opinium/, 2009-09-25,40,26,18
YouGov/SkyNews, 2009-09-24,38,25,23
ICM/News of the World, 2009-09-24,40,26,23
YouGov/Telegraph, 2009-09-24,39,26,20
YouGov/SkyNews, 2009-09-23,38,28,19
YouGov/SkyNews, 2009-09-22,39,27,20
YouGov/SkyNews, 2009-09-21,39,30,17
ICM/Guardian, 2009-09-20,43,26,19
Opinium/, 2009-09-18,42,28,18
Populus/Times, 2009-09-13,41,27,18
YouGov/Sunday Times, 2009-09-11,41,27,17
Opinium/, 2009-09-11,41,27,15
ComRes/Independent, 2009-09-06,40,24,21
YouGov/Telegraph, 2009-09-06,40,27,18
Opinium/, 2009-09-04,37,28,15
YouGov/The Sun, 2009-08-28,42,28,17
YouGov/Telegraph, 2009-08-27,42,26,18
Ipsos-MORI/Observer, 2009-08-23,43,26,17
ICM/Guardian, 2009-08-23,41,25,19
ComRes/Independent on Sunday, 2009-08-20,41,24,18
YouGov/Sunday Times, 2009-08-14,42,28,18
ICM/Sunday Mirror, 2009-08-13,43,26,19
YouGov/Telegraph, 2009-07-30,41,27,18
ComRes/Independent, 2009-07-26,42,24,18
YouGov/People, 2009-07-23,40,25,20
Ipsos-MORI/, 2009-07-19,40,24,18
Populus/Times, 2009-07-19,38,26,20
YouGov/Sunday Times, 2009-07-17,42,25,18
ComRes/Independent on Sunday, 2009-07-16,38,23,22
ICM/Guardian, 2009-07-11,41,27,20
ComRes/Independent, 2009-06-28,36,25,19
YouGov/People, 2009-06-26,40,24,17
YouGov/Telegraph, 2009-06-25,38,25,18
Ipsos-MORI/, 2009-06-21,38,21,19
ComRes/Independent on Sunday, 2009-06-19,39,22,18
Harris/Metro, 2009-06-17,35,20,16
Ipsos-MORI/Unison, 2009-06-14,39,25,19
ICM/Guardian, 2009-06-14,39,27,18
YouGov/Sunday Times, 2009-06-12,40,24,18
Populus/Times, 2009-06-10,36,24,19
ComRes/Independent, 2009-06-07,38,22,20
YouGov/Channel 4, 2009-06-04,37,22,19
YouGov/Telegraph, 2009-06-03,37,21,19
ComRes/Independent, 2009-05-31,30,22,18
Ipsos-MORI/, 2009-05-31,40,18,18
YouGov/Telegraph, 2009-05-29,39,22,18
ICM/Sunday Telegraph, 2009-05-28,40,22,25
Populus/Times, 2009-05-28,41,21,15
Populus/ITV, 2009-05-20,39,27,17
ICM/Guardian, 2009-05-17,39,28,20
YouGov/Telegraph, 2009-05-16,39,23,19
BPIX/Mail on Sunday, 2009-05-16,42,20,15
ComRes/Independent on Sunday, 2009-05-14,40,21,18
YouGov/Sun, 2009-05-14,41,22,19
Populus/Times, 2009-05-10,39,26,22
BPIX/Mail on Sunday, 2009-05-09,45,23,17
YouGov/Sunday Times, 2009-05-08,43,27,18
ComRes/Independent, 2009-04-26,45,26,17
YouGov/Sunday People, 2009-04-24,45,27,17
YouGov/Telegraph, 2009-04-23,45,27,18
Ipsos-MORI/, 2009-04-19,41,28,22
ICM/Guardian, 2009-04-19,40,30,19
BPIX/Mail on Sunday, 2009-04-18,45,26,17
Marketing Sciences/Sunday Telegraph, 2009-04-16,43,26,21
Populus/Times, 2009-04-06,43,30,18
YouGov/Sunday Times, 2009-04-04,41,34,16
ComRes/Independent, 2009-03-29,40,28,18
ICM/Sunday Telegraph, 2009-03-26,44,31,18
YouGov/Telegraph, 2009-03-26,41,31,17
ComRes/Independent on Sunday, 2009-03-19,41,30,17
ICM/Guardian, 2009-03-15,42,30,20
Ipsos-MORI/, 2009-03-15,42,32,14
YouGov/Sunday Times, 2009-03-13,41,31,17
Populus/Times, 2009-03-08,42,30,19
ComRes/Independent, 2009-03-01,44,28,17
YouGov/Telegraph, 2009-02-26,41,31,15
ICM/Guardian, 2009-02-22,42,30,18
Ipsos-MORI/, 2009-02-15,48,28,17
YouGov/Sunday Times, 2009-02-13,44,32,14
ComRes/Independent on Sunday, 2009-02-12,41,25,22
Populus/Times, 2009-02-08,42,28,18
ICM/Sunday Telegraph, 2009-02-05,40,28,22
YouGov/Telegraph, 2009-01-29,43,32,16
ICM/Guardian, 2009-01-25,44,32,16
ComRes/Independent, 2009-01-23,43,28,16
Ipsos-MORI/, 2009-01-18,44,30,17
YouGov/Sunday Times, 2009-01-16,45,32,14
ComRes/Independent on Sunday, 2009-01-15,41,32,15
Populus/Times, 2009-01-11,43,33,15
YouGov/The Sun, 2009-01-08,41,34,15
2008,,,,
ComRes/Independent, 2008-12-21,39,34,16
YouGov/Telegraph, 2008-12-18,42,35,14
Ipsos-MORI/, 2008-12-14,39,35,15
ICM/Guardian, 2008-12-14,38,33,19
YouGov/Sunday Times, 2008-12-12,41,35,15
Ipsos-MORI/Daily Mirror, 2008-12-11,41,36,11
ComRes/Independent on Sunday, 2008-12-11,37,36,14
Populus/Times, 2008-12-07,39,35,17
ComRes/Independent, 2008-11-30,37,36,17
Ipsos-MORI/Observer, 2008-11-28,43,32,15
ICM/Guardian, 2008-11-26,45,30,18
YouGov/Telegraph, 2008-11-25,40,36,14
ICM/Sunday Mirror, 2008-11-21,42,31,19
Ipsos-MORI/, 2008-11-16,40,37,12
YouGov/Sunday Times, 2008-11-14,41,36,14
ComRes/Independent on Sunday, 2008-11-13,43,32,12
Populus/Times, 2008-11-09,41,35,16
ICM/Sunday Telegraph, 2008-11-06,43,30,18
BPIX/Mail on Sunday, 2008-11-01,45,31,13
YouGov/Telegraph, 2008-10-30,42,33,15
ComRes/Independent, 2008-10-26,39,31,16
Ipsos-MORI/, 2008-10-19,45,30,14
ICM/Guardian, 2008-10-19,42,30,21
YouGov/Daily Mirror, 2008-10-18,42,34,14
BPIX/Mail on Sunday, 2008-10-18,46,30,13
ComRes/Independent on Sunday, 2008-10-16,40,31,16
YouGov/Sunday Times, 2008-10-10,43,33,14
Populus/Times, 2008-10-05,45,30,15
YouGov/Telegraph, 2008-10-03,45,31,15
ICM/Guardian, 2008-10-02,42,30,17
ComRes/Independent, 2008-09-28,41,29,18
BPIX/Sunday Telegraph, 2008-09-26,43,31,17
ICM/Guardian, 2008-09-25,41,32,18
YouGov/The Sun, 2008-09-24,41,31,16
ComRes/Independent on Sunday, 2008-09-18,39,27,21
YouGov/Telegraph, 2008-09-18,44,24,20
Ipsos-MORI/, 2008-09-14,52,24,12
YouGov/Sunday Times, 2008-09-12,46,27,16
ComRes/Independent, 2008-09-04,44,25,17
Populus/Times, 2008-08-31,43,27,18
YouGov/Telegraph, 2008-08-27,45,26,16
YouGov/Compass, 2008-08-21,48,26,16
ComRes/Independent on Sunday, 2008-08-21,46,25,16
ICM/Guardian, 2008-08-17,44,29,19
Ipsos-MORI/, 2008-08-17,48,24,16
YouGov/Sunday Times, 2008-08-15,45,25,18
YouGov/News of the World, 2008-08-08,46,26,17
BPIX/Mail on Sunday, 2008-08-02,47,24,16
ICM/Sunday Express, 2008-08-01,45,29,16
YouGov/Telegraph, 2008-07-31,47,25,16
Populus/Times, 2008-07-27,43,27,18
YouGov/Telegraph, 2008-07-25,45,26,17
ComRes/Independent, 2008-07-24,46,24,18
Ipsos-MORI/, 2008-07-20,47,27,15
ICM/Guardian, 2008-07-20,43,28,19
ComRes/Independent on Sunday, 2008-07-17,45,24,16
YouGov/Sunday Times, 2008-07-11,47,25,16
Populus/Times, 2008-07-06,41,28,19
ComRes/Independent, 2008-06-26,46,25,18
YouGov/Telegraph, 2008-06-26,46,28,15
ICM/Guardian, 2008-06-22,45,25,20
BPIX/Mail on Sunday, 2008-06-20,49,26,14
Ipsos-MORI/, 2008-06-15,45,28,16
YouGov/Sunday Times, 2008-06-13,47,25,18
ComRes/Independent on Sunday, 2008-06-12,44,26,17
Populus/Times, 2008-06-08,45,25,20
ICM/Sunday Telegraph, 2008-06-05,42,26,21
ComRes/Independent, 2008-06-01,44,30,16
YouGov/Telegraph, 2008-05-29,47,23,18
Ipsos-MORI/, 2008-05-20,45,32,14
ICM/Guardian, 2008-05-18,41,27,22
Ipsos-MORI/, 2008-05-18,41,28,20
YouGov/Sunday Times, 2008-05-16,45,25,18
ComRes/Independent on Sunday, 2008-05-15,43,26,19
YouGov/The Sun, 2008-05-08,49,23,17
Populus/Times, 2008-05-04,40,29,19
ComRes/Independent, 2008-04-27,40,26,20
ICM/Sunday Telegraph, 2008-04-25,39,29,20
YouGov/Telegraph, 2008-04-23,44,26,17
Ipsos-MORI/Observer, 2008-04-22,40,31,19
ICM/Guardian, 2008-04-20,39,34,19
Ipsos-MORI/, 2008-04-20,38,32,17
Populus/Sunday Mirror, 2008-04-17,40,30,19
YouGov/Sunday Times, 2008-04-11,44,28,17
Populus/Times, 2008-04-06,39,33,17
ICM/Sunday Telegraph, 2008-04-04,43,32,18
ComRes/Independent, 2008-03-30,38,31,17
YouGov/Telegraph, 2008-03-27,43,29,17
Ipsos-MORI/, 2008-03-18,40,35,18
ICM/Guardian, 2008-03-16,42,29,21
YouGov/Sunday Times, 2008-03-14,43,27,16
ICM/News of the World, 2008-03-14,40,31,20
Populus/Times, 2008-03-09,37,34,19
Ipsos-MORI/, 2008-03-07,41,32,15
YouGov/Telegraph, 2008-02-29,40,33,16
Ipsos-MORI/, 2008-02-26,39,37,16
ComRes/Independent, 2008-02-24,41,30,17
YouGov/Economist, 2008-02-21,40,34,16
ICM/Guardian, 2008-02-17,37,34,21
YouGov/Sunday Times, 2008-02-15,41,32,16
Ipsos-MORI/, 2008-02-11,42,33,13
Populus/Times, 2008-02-03,40,31,17
ICM/Sunday Telegraph, 2008-01-31,37,32,21
ComRes/Independent, 2008-01-27,38,30,17
YouGov/Telegraph, 2008-01-23,41,33,16
Ipsos-MORI/, 2008-01-23,37,38,16
ICM/Guardian, 2008-01-20,37,35,20
Ipsos-MORI/, 2008-01-13,41,32,17
YouGov/Sunday Times, 2008-01-11,43,33,14
ICM/Sunday Telegraph, 2008-01-11,40,33,18
Ipsos-MORI/Sun, 2008-01-10,42,32,15
Populus/Times, 2008-01-06,37,33,19
2007,,,,
YouGov/Sunday Times, 2007-12-27,40,35,15
ICM/Guardian, 2007-12-19,39,34,18
YouGov/Telegraph, 2007-12-19,43,31,16
ComRes/Independent, 2007-12-16,41,30,16
YouGov/Sunday Times, 2007-12-14,45,32,14
Populus/Times, 2007-12-09,40,32,16
Ipsos-MORI/, 2007-12-07,42,35,14
ICM/News of the World, 2007-11-29,41,30,19
YouGov/Telegraph, 2007-11-29,43,32,14
Ipsos-MORI/Sun, 2007-11-27,41,32,17
ComRes/Independent, 2007-11-25,40,27,18
ICM/Guardian, 2007-11-22,37,31,21
YouGov/Channel 4, 2007-11-22,41,32,14
YouGov/Sunday Times, 2007-11-16,41,35,13
ICM/Sunday Express, 2007-11-10,43,35,15
Populus/Times, 2007-11-04,36,37,16
Ipsos-MORI/The Sun, 2007-11-01,40,35,13
ICM/Guardian, 2007-10-28,40,35,18
ComRes/Independent, 2007-10-28,41,33,16
YouGov/Telegraph, 2007-10-24,41,38,11
Ipsos-MORI/Observer, 2007-10-23,40,41,13
BPIX/Mail on Sunday, 2007-10-13,41,37,11
ICM/Sunday Telegraph, 2007-10-11,43,36,14
Ipsos-MORI/The Sun, 2007-10-10,41,38,11
Populus/Times, 2007-10-06,38,40,12
BPIX/Mail on Sunday, 2007-10-06,39,38,12
YouGov/Sunday Times, 2007-10-06,41,38,11
Populus/Times, 2007-10-05,36,39,15
ICM/Guardian, 2007-10-04,38,38,16
YouGov/Channel 4, 2007-10-04,36,40,13
BPIX/Mail on Sunday, 2007-09-29,34,41,12
Ipsos-MORI/Observer, 2007-09-28,34,41,16
YouGov/Telegraph, 2007-09-28,32,43,15
Populus/Times, 2007-09-27,31,41,17
Ipsos-MORI/Observer, 2007-09-26,31,44,15
YouGov/Channel 4, 2007-09-25,33,44,13
Ipsos-MORI/Sun, 2007-09-22,34,42,14
ICM/Sunday Mirror, 2007-09-21,33,39,19
YouGov/Telegraph, 2007-09-21,33,39,16
ICM/Guardian, 2007-09-16,32,40,20
YouGov/Sunday Times, 2007-09-14,34,39,15
ComRes/Independent, 2007-09-12,34,37,15
Ipsos-MORI/, 2007-09-02,33,39,16
Populus/Times, 2007-09-02,36,37,18
YouGov/GMTV, 2007-08-31,35,38,15
ComRes/Independent, 2007-08-30,36,36,15
Ipsos-MORI/Sun, 2007-08-29,36,41,16
Populus/Conservative Party, 2007-08-28,36,37,16
YouGov/Telegraph, 2007-08-28,33,41,14
ICM/Guardian, 2007-08-23,34,39,18
YouGov/Sunday Times, 2007-08-10,32,42,14
ICM/Sunday Mirror, 2007-08-10,33,39,18
Ipsos-MORI/The Sun, 2007-08-09,33,38,15
Ipsos-MORI/, 2007-08-05,35,39,15
Communicate/Independent, 2007-07-29,34,37,16
Populus/Times, 2007-07-29,33,39,15
YouGov/Telegraph, 2007-07-25,32,41,16
ICM/Guardian, 2007-07-22,32,38,20
YouGov/Sunday Times, 2007-07-21,33,40,15
Ipsos-MORI/Observer, 2007-07-17,35,41,15
ICM/Sunday Telegraph, 2007-07-13,33,40,19
Ipsos-MORI/, 2007-07-09,36,40,14
ICM/Sunday Mirror, 2007-07-06,35,37,17
Populus/Times, 2007-07-01,34,37,18
YouGov/Telegraph, 2007-06-29,35,38,15
ICM/Guardian, 2007-06-28,35,39,18
Communicate/Independent, 2007-06-24,37,32,18
Ipsos-MORI/Observer, 2007-06-20,36,39,15
YouGov/Sunday Times, 2007-06-15,37,35,14
Ipsos-MORI/, 2007-06-10,36,33,17
Populus/Times, 2007-06-03,36,33,17
ICM/Sunday Telegraph, 2007-05-31,37,32,21
Communicate/Independent, 2007-05-28,35,31,19
YouGov/Telegraph, 2007-05-23,39,33,15
Ipsos-MORI/, 2007-05-22,37,35,19
ICM/Guardian, 2007-05-20,34,32,21
Populus/Times, 2007-05-13,37,33,17
Ipsos-MORI/, 2007-05-13,33,32,20
YouGov/Sunday Times, 2007-05-11,38,34,15
Ipsos-MORI/Observer, 2007-04-25,38,31,20
YouGov/Telegraph, 2007-04-25,37,32,18
ICM/Guardian, 2007-04-22,37,30,21
Communicate/Independent, 2007-04-22,36,27,22
Ipsos-MORI/, 2007-04-15,35,34,19
Populus/Times, 2007-04-15,37,29,20
YouGov/Sunday Times, 2007-04-05,39,31,16
YouGov/Telegraph, 2007-03-28,39,32,17
Communicate/Independent, 2007-03-25,35,31,20
YouGov/Telegraph, 2007-03-22,39,31,16
ICM/Guardian, 2007-03-18,41,31,18
YouGov/Sunday Times, 2007-03-16,38,32,16
Ipsos-MORI/, 2007-03-15,41,33,17
ICM/Sunday Mirror, 2007-03-09,40,29,21
Populus/Times, 2007-03-04,38,30,18
Communicate/Independent, 2007-02-25,40,29,17
YouGov/Telegraph, 2007-02-21,37,32,17
ICM/Guardian, 2007-02-18,40,31,19
YouGov/Sunday Times, 2007-02-09,37,32,18
Populus/Times, 2007-02-04,36,33,19
Ipsos-MORI/, 2007-01-29,39,35,19
YouGov/Telegraph, 2007-01-24,38,31,18
ICM/Guardian, 2007-01-21,37,31,23
Populus/Times, 2007-01-07,39,32,18
2006,,,,
YouGov/Sunday Times, 2006-12-22,37,32,15
Communicate/Independent, 2006-12-20,36,37,14
YouGov/Telegraph, 2006-12-20,37,33,17
Ipsos-MORI/null, 2006-12-12,37,36,18
ICM/Guardian, 2006-12-17,40,32,18
Populus/Times, 2006-12-10,34,33,18
ICM/News of the World, 2006-11-30,39,31,20
YouGov/Telegraph, 2006-11-30,37,32,16
Communicate/Independent, 2006-11-26,34,36,17
ICM/Guardian, 2006-11-19,37,32,22
Ipsos-MORI/Observer, 2006-11-14,35,33,20
Populus/Times, 2006-11-05,36,33,20
YouGov/Telegraph, 2006-10-26,39,32,16
ICM/Guardian, 2006-10-22,39,29,22
Communicate/Independent, 2006-10-22,38,32,14
Ipsos-MORI/FT, 2006-10-16,35,37,18
Populus/Times, 2006-10-08,36,35,18
