House,Date,Con,Lab,LD
Gallup/Telegraph,08/01/1996,21,60.5,14.5
ICM/Guardian,06/01/1996,26,48,22
NOP/Sunday Times,03/01/1996,29,52,13
NOP/Sunday Times,15/12/1995,25,55,16
ICM/Observor,14/12/1995,30,50,14
ICM/Guardian,09/12/1995,26,48,22
Gallup/Telegraph,04/12/1995,23,62,12
MORI/Times,04/12/1995,28,55,13
NOP/Sunday Times,01/12/1995,25,57,15
MORI/Times,20/11/1995,26,56,14
NOP/Sunday Times,17/11/1995,27,56,13
ICM/Guardian,05/11/1995,31,48,16
Gallup/Telegraph,30/10/1995,21.5,61,14.5
MORI/Times,23/10/1995,27,56,13
NOP/Sunday Times,20/10/1995,23,59,15
ICM/Guardian,07/10/1995,30,47,19
Gallup/Telegraph,02/10/1995,25.5,55.5,14
MORI/Times,25/09/1995,28,51,16
NOP/Sunday Times,15/09/1995,27,53,17
ICM/Guardian,09/09/1995,31,48,17
Gallup/Telegraph,04/09/1995,26.5,54.5,14
MORI/Times,28/08/1995,25,56,15
NOP/Sunday Times,18/08/1995,24,57,15
ICM/Guardian,05/08/1995,31,48,17
Gallup/Telegraph,31/07/1995,22.5,57.5,14.5
ICM/Express,31/07/1995,24,58,14
MORI/Times,24/07/1995,26,59,12
MORI/LWT,21/07/1995,30,52,13
NOP/Sunday Times,21/07/1995,26,55,14
ICM/Guardian,08/07/1995,32,47,17
Gallup/Telegraph,03/07/1995,25.5,57,13
MORI/European,03/07/1995,33,52,10
MORI/Economist,27/06/1995,31,55,11
MORI/Times,26/06/1995,29,56,13
MORI/Mail on Sunday,24/06/1995,32,54,11
ICM/Guardian,10/06/1995,24,53,19
Gallup/Telegraph,05/06/1995,20,59.5,14.5
MORI/Times,22/05/1995,22,58,16
ICM/Guardian,13/05/1995,29,48,19
Gallup/Telegraph,08/05/1995,23,55.5,16.5
MORI/Times,24/04/1995,26,56,15
ICM/Guardian,08/04/1995,26,51,18
Gallup/Telegraph,03/04/1995,23,57.5,15
MORI/Sunday Times,24/03/1995,25,59,12
MORI/Times,20/03/1995,25,57,13
ICM/Guardian,11/03/1995,27,52,17
Gallup/Telegraph,27/02/1995,20.5,60.5,15
MORI/Times,20/02/1995,24,58,14
ICM/Guardian,11/02/1995,31,49,17
Gallup/Telegraph,30/01/1995,23.5,59.5,13
MORI/Times,23/01/1995,27,56,14
ICM/Guardian,14/01/1995,30,48,18
Harris/Sunday Times,13/01/1995,25,60,12
Gallup/Telegraph,09/01/1995,18.5,62,14
MORI/Times,19/12/1994,22,61,13
ICM/Observor,09/12/1994,26,53,17
Gallup/Telegraph,05/12/1994,21.5,61,13.5
ICM/Guardian,03/12/1994,31,49,17
MORI/Times,21/11/1994,24,55,17
ICM/Guardian,05/11/1994,31,49,16
Gallup/Telegraph,31/10/1994,21.5,56.5,17
MORI/Times,24/10/1994,25,57,14
ICM/Guardian,08/10/1994,32,49,15
Gallup/Telegraph,03/10/1994,25.5,54,16.5
Gallup/Telegraph,27/09/1994,21,57.5,15.5
MORI/Economist,26/09/1994,25,52,18
MORI/Times,26/09/1994,25,54,17
NOP/Independent,16/09/1994,28,50,17
ICM/Guardian,10/09/1994,33,45,18
Gallup/Telegraph,05/09/1994,22,56.5,17
NOP/Independent on Sunday,26/08/1994,26,54,16
MORI/Times,22/08/1994,23,56,18
ICM/Guardian,06/08/1994,28,49,19
Gallup/Telegraph,01/08/1994,23,56.5,14.5
MORI/Times,18/07/1994,23,51,21
ICM/Guardian,09/07/1994,31,44,21
Gallup/Telegraph,04/07/1994,26.5,51,17.5
MORI/Times,20/06/1994,24,52,20
ICM/Sunday Express,10/06/1994,26.5,45.5,19
MORI/Times,06/06/1994,23,50,22
ICM/Daily Express,04/06/1994,27,45,22
MORI/GMB,31/05/1994,22,46,22
Gallup/ Telegraph,30/05/1994,21,54,21.5
MORI/Times,23/05/1994,27,46,23
ICM/Guardian,21/05/1994,30,44,20
ICM/Express,17/05/1994,26,48,23
MORI/Sunday Times,14/05/1994,26,49,20
Gallup/Telegraph,09/05/1994,24.5,45.5,25
ICM/Guardian,07/05/1994,29,44,24
MORI/Times,25/04/1994,26,47,23
NOP/Independent,20/04/1994,26,48,21
ICM/Guardian,09/04/1994,30,42,22
Gallup/Telegraph,04/04/1994,26.5,51.5,17.5
MORI/Evening Standard,01/04/1994,28,46,22
NOP/Independent on Sunday,31/03/1994,26,50,20
MORI/Times,28/03/1994,27,49,20
ICM/Guardian,12/03/1994,29,44,22
Gallup/Telegraph,28/02/1994,25,48.5,21
MORI/Times,28/02/1994,28,47,21
ICM/Guardian,12/02/1994,30,44,21
Gallup/Telegraph,31/01/1994,26,45.5,23
Audience Selection/Sunday Mirror,27/01/1994,28,41,24
MORI/Times,24/01/1994,28,48,20
Gallup/Telegraph,11/01/1994,25.5,46.5,20.5
MORI/Sun,11/01/1994,30,46,20
ICM/Guardian,08/01/1994,31,43,21
ICM/Observor,14/12/1993,26,48,23
MORI/Times,13/12/1993,29,47,20
Gallup/Telegraph,06/12/1993,27,48.5,20
ICM/Guardian,04/12/1993,31,42,23
MORI/Times,22/11/1993,29,47,22
NOP/Sunday Times,13/11/1993,27,47,21
ICM/Guardian,06/11/1993,34,38,24
Gallup/Telegraph,01/11/1993,24,46.5,25.5
MORI/Times,25/10/1993,29,45,23
ICM/Guardian,09/10/1993,36,39,20
ICM/Sunday Express,09/10/1993,30,40,26
Gallup/Telegraph,27/09/1993,23,44.5,27
ICM/Sunday Express,24/09/1993,27,41,26
Gallup/Telegraph,21/09/1993,23.5,44,26.5
MORI/Times,20/09/1993,29,43,25
ICM/Guardian,11/09/1993,29,40,26
Gallup/Telegraph,06/09/1993,25.5,46.5,23
MORI/Times,23/08/1993,28,42,25
ICM/Guardian,07/08/1993,30,36,27
Gallup/Telegraph,01/08/1993,23,44.5,27
MORI/Sunday Times,30/07/1993,27,41,28
MORI/Times,26/07/1993,27,44,25
MORI/Sunday Times,23/07/1993,34,44,18
Gallup/Telegraph,05/07/1993,24.5,43,26.5
ICM/Guardian,03/07/1993,32,37,25
MORI/Times,28/06/1993,28,46,23
MORI/Sunday Times,12/06/1993,29,44,22
NOP/Independent on Sunday,11/06/1993,27,42,26
ICM/Guardian,05/06/1993,31,38,26
Gallup/Telegraph,31/05/1993,25,49,23
MORI/Times,24/05/1993,28,44,24
ICM/Guardian,08/05/1993,32,38,24
Gallup/Telegraph,03/05/1993,30,47,17.5
MORI/Times,26/04/1993,32,46,20
ICM/Guardian,10/04/1993,34,39,21
Gallup/Telegraph,01/04/1993,30.5,49,15.5
MORI/Times,29/03/1993,32,47,17
ICM/Guardian,06/03/1993,36,41,18
Gallup/Telegraph,01/03/1993,32,49,14
MORI/Times,22/02/1993,34,46,16
ICM/Guardian,06/02/1993,37,39,18
Gallup/Telegraph,01/02/1993,33.5,46,15.5
MORI/CCC,26/01/1993,38,44,13
MORI/Sunday Times,21/01/1993,37,45,14
Gallup/Telegraph,11/01/1993,33.5,45.5,14.5
ICM/Guardian,09/01/1993,39,37,18
MORI/Sunday Times,15/12/1992,34,47,16
ICM/Guardian,05/12/1992,36,41,18
MORI/Sunday Times,01/12/1992,34,47,15
Gallup/Telegraph,30/11/1992,29,52,14
ICM/Express,20/11/1992,33,49,14
Harris/Observer,12/11/1992,32,51,14
Harris/World in Action,08/11/1992,30,53,13
ICM/Guardian,07/11/1992,36,40,19
Gallup/Telegraph,02/11/1992,32.5,50,13
NOP/Independent on Sunday,30/10/1992,34,47,14
MORI/Sunday Times,27/10/1992,35,45,15
Gallup,19/10/1992,29,51,14
Gallup,12/10/1992,36,45,14
ICM/Guardian,10/10/1992,38,38,19
MORI/Sunday Times,29/09/1992,37,43,16
Gallup/Telegraph,28/09/1992,37,44,15
Gallup/Telegraph,21/09/1992,37,42,17
MORI/Sunday Times,19/09/1992,39,43,15
NOP/Independent on Sunday,18/09/1992,39,41,16
Harris/Observer,17/09/1992,36,44,16
Gallup,07/09/1992,43,41,12
ICM/Guardian,05/09/1992,39,35,19
MORI/Sunday Times,02/09/1992,41,44,13
MORI/Times,21/08/1992,38,44,14
NOP/Independent on Sunday,14/08/1992,43,39,14
ICM/Guardian,08/08/1992,41,36,17
Gallup,03/08/1992,40.5,45,12
MORI/Sunday Times,28/07/1992,39,43,15
Harris/Observer,16/07/1992,44,38,15
Gallup,06/07/1992,42,38,16
ICM/Guardian,04/07/1992,45,36,15
MORI/Sunday Times,23/06/1992,42,39,16
Harris/Observer,18/06/1992,46,36,15
ICM/Guardian,06/06/1992,45,36,16
Gallup,01/06/1992,45,37,17
MORI/Sunday Times,26/05/1992,43,38,16
Audience Selection,17/05/1992,45,37,13
Harris/Observer,14/05/1992,46,37,13
ICM/Guardian,09/05/1992,45,34,17
Gallup,04/05/1992,42,39,17
MORI/Sunday Times,28/04/1992,43,38,16
Harris/Observer,16/04/1992,44,36,17
Gallup,12/04/1992,39,38,19
Audience Selection,11/04/1992,42,36,18
