start,end,house,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other
26/09/2014,28/09/2014,Ashcroft,158,158,38,21,4,22,87,12
26/09/2014,28/09/2014,Populus,379,402,83,39,4,52,156,7
28/09/2014,28/09/2014,ComRes,188,229,64,23,1,26,99,17
23/09/2014,26/09/2014,Opinium,478,504,107,57,6,58,250,26
01/10/2014,02/10/2014,Populus,372,433,94,35,5,35,146,11
03/10/2014,05/10/2014,Populus,357,418,91,44,4,39,175,7
03/10/2014,05/10/2014,Ashcroft,166,155,35,20,2,38,93,9
08/10/2014,09/10/2014,Populus,392,407,105,48,3,46,149,10
10/10/2014,10/10/2014,Survation,277,281,59,37,2,16,225,2
07/10/2014,09/10/2014,Opinium,425,526,142,60,6,61,254,29
10/10/2014,12/10/2014,Ashcroft,147,171,40,29,2,28,103,11
10/10/2014,12/10/2014,Populus,418,431,103,44,3,38,152,10
08/10/2014,09/10/2014,Ashcroft,967,1072,240,136,9,131,584,30
10/10/2014,12/10/2014,ICM,136,168,35,13,5,18,70,12
11/10/2014,14/10/2014,Ipsos MORI,211,225,57,32,4,41,111,10
15/10/2014,16/10/2014,Populus,379,400,111,37,4,45,164,4
15/10/2014,16/10/2014,ComRes Online,234,256,57,31,3,29,147,6
17/10/2014,19/10/2014,Populus,405,423,110,38,5,39,156,13
17/10/2014,19/10/2014,Ashcroft,144,160,35,25,5,41,98,9
22/10/2014,23/10/2014,Populus,369,393,97,47,3,39,175,8
24/10/2014,26/10/2014,Populus,390,415,96,47,2,37,148,9
21/10/2014,24/10/2014,Opinium,492,487,89,65,3,64,262,17
24/10/2014,26/10/2014,Ashcroft,157,157,32,23,5,28,95,15
24/10/2014,26/10/2014,ComRes,198,197,57,24,2,28,126,19
29/10/2014,30/10/2014,Populus,391,389,92,36,2,52,166,11
31/10/2014,02/11/2014,Populus,391,410,101,43,4,47,154,9
31/10/2014,02/11/2014,Ashcroft,151,153,48,28,3,33,85,15
31/10/2014,01/11/2014,Survation,480,539,156,82,5,58,412,16
05/11/2014,06/11/2014,Populus,374,401,102,37,4,51,157,9
04/11/2014,07/11/2014,Opinium,418,470,130,66,11,55,285,30
07/11/2014,07/11/2014,Survation,268,309,58,32,1,32,211,6
07/11/2014,09/11/2014,Populus,403,425,93,42,4,45,160,11
07/11/2014,09/11/2014,Ashcroft,149,143,48,23,4,38,84,14
07/11/2014,09/11/2014,ICM,149,157,39,18,3,31,72,8
08/11/2014,10/11/2014,Ipsos MORI,178,159,51,42,4,40,78,5
12/11/2014,13/11/2014,Populus,387,409,105,43,3,46,156,11
12/11/2014,14/11/2014,ComRes Online,372,434,99,61,6,41,237,8
14/11/2014,16/11/2014,Populus,408,420,85,41,6,58,131,8
14/11/2014,16/11/2014,Ashcroft,141,150,42,21,4,38,85,18
19/11/2014,20/11/2014,Populus,382,411,97,37,5,42,163,6
18/11/2014,20/11/2014,Opinium,444,491,98,66,7,65,280,22
21/11/2014,23/11/2014,Ashcroft,143,171,37,28,5,37,103,10
21/11/2014,23/11/2014,Opinium,351,411,104,49,4,53,170,8
25/11/2014,27/11/2014,TNS,229,242,47,27,5,43,149,32
26/11/2014,27/11/2014,Populus,373,426,101,35,6,42,167,13
28/11/2014,30/11/2014,Populus,362,401,100,41,3,59,163,7
28/11/2014,30/11/2014,Ashcroft,151,165,35,27,4,35,85,17
28/11/2014,30/11/2014,ComRes,187,206,57,27,4,45,122,18
03/12/2014,04/12/2014,Populus,388,411,100,51,4,47,160,11
03/12/2014,04/12/2014,Opinium,422,505,95,61,10,83,285,18
05/12/2014,07/12/2014,Populus,389,426,95,40,2,43,171,6
05/12/2014,07/12/2014,Ashcroft,136,148,33,22,3,24,94,9
10/12/2014,11/12/2014,Populus,389,400,101,39,3,45,157,7
10/12/2014,12/12/2014,ComRes,429,448,102,55,4,32,230,10
12/12/2014,14/12/2014,Populus,391,416,111,38,5,53,143,10
12/12/2014,14/12/2014,ComRes,169,189,72,22,3,31,92,9
12/12/2014,16/12/2014,ICM,134,161,51,24,2,26,72,5
13/12/2014,15/12/2014,Ipsos MORI,179,160,49,35,3,52,72,5
17/12/2014,18/12/2014,Populus,407,412,110,42,5,50,153,8
16/12/2014,19/12/2014,Opinium,421,521,90,68,5,68,232,23
11/12/2014,15/12/2014,TNS,219,273,40,19,5,55,152,22
19/12/2014,21/12/2014,Populus,398,396,101,44,4,51,141,11
19/12/2014,23/12/2014,Opinium,419,477,88,67,8,79,268,19
30/12/2014,02/01/2015,Opinium,463,481,112,52,10,58,240,21
02/01/2015,04/01/2015,Populus,397,415,106,43,2,58,137,10
07/01/2015,08/01/2015,Populus,382,387,95,43,2,68,161,8
09/01/2015,11/01/2015,Populus,366,423,115,47,4,43,148,5
09/01/2015,11/01/2015,Ashcroft 2,175,145,37,22,4,41,84,8
11/01/2015,13/01/2015,Ipsos MORI,183,192,43,25,0,44,62,7
14/01/2015,15/01/2015,Populus,385,410,103,37,3,72,169,7
06/01/2015,08/01/2015,TNS,158,198,37,20,4,30,100,20
14/01/2015,15/01/2015,ComRes Online,431,446,92,58,1,44,231,11
13/01/2015,15/01/2015,Opinium,417,481,95,67,5,81,295,25
16/01/2015,18/01/2015,Populus,407,411,91,37,7,43,149,8
16/01/2015,18/01/2015,Ashcroft 2,141,140,42,25,3,55,75,14
15/01/2015,19/01/2015,TNS,170,172,43,23,2,38,90,15
16/01/2015,19/01/2015,ICM,147,174,42,25,6,46,60,4
21/01/2015,22/01/2015,Populus,368,410,102,36,5,72,150,11
23/01/2015,25/01/2015,Populus,392,407,101,36,4,67,155,4
22/01/2015,25/01/2015,Ashcroft 2,167,174,30,18,4,50,83,10
25/01/2015,25/01/2015,Survation,259,251,58,37,3,27,187,4
23/01/2015,25/01/2015,ComRes,179,175,49,27,2,42,103,11
28/01/2015,29/01/2015,Populus,393,404,112,36,2,50,160,4
27/01/2015,30/01/2015,Opinium,472,493,71,67,7,89,261,15
30/01/2015,02/02/2015,Populus 2,376,410,99,59,3,60,169,19
30/01/2015,01/02/2015,Ashcroft 2,172,172,43,24,4,52,85,7
29/01/2015,02/02/2015,TNS,151,186,36,25,1,46,101,19
04/02/2015,05/02/2015,Populus 2,379,411,92,52,4,58,198,18
03/02/2015,06/02/2015,Opinium,449,483,96,52,6,111,210,15
06/02/2015,08/02/2015,Populus 2,401,417,103,54,4,46,180,9
06/02/2015,08/02/2015,Ashcroft 2,184,170,47,23,3,36,79,8
08/02/2015,10/02/2015,Ipsos MORI,194,204,36,33,5,41,50,4
11/02/2015,12/02/2015,Populus 2,375,415,114,53,4,68,173,15
10/02/2015,12/02/2015,Opinium,479,497,111,41,5,86,197,15
11/02/2015,12/02/2015,ComRes Online,431,461,95,80,6,54,222,7
13/02/2015,15/02/2015,Populus 2,384,405,125,52,4,55,180,15
13/02/2015,15/02/2015,Ashcroft 2,152,161,42,21,2,42,86,13
11/02/2015,12/02/2015,ComRes Online,431,461,95,80,6,54,222,7
13/02/2015,15/02/2015,ICM,162,146,31,26,3,33,43,7
12/02/2015,16/02/2015,TNS,154,189,34,15,3,38,96,11
18/02/2015,19/02/2015,Populus 2,368,384,109,55,6,74,201,8
17/02/2015,20/02/2015,Opinium,497,469,92,39,4,101,210,19
20/02/2015,22/02/2015,Populus 2,400,399,114,49,4,78,187,13
20/02/2015,22/02/2015,Ashcroft 2,171,196,36,22,4,43,64,11
20/02/2015,23/02/2015,ComRes,209,196,48,27,0,48,79,11
23/02/2015,23/02/2015,Survation,244,290,83,38,3,31,164,7
25/02/2015,27/02/2015,Populus 2,364,392,109,52,5,69,195,8
24/02/2015,26/02/2015,Opinium,483,499,91,46,7,82,191,15
27/02/2015,01/03/2015,Ashcroft 2,176,164,35,21,3,40,75,14
27/02/2015,01/03/2015,Populus 2,397,421,103,60,4,67,169,11
04/03/2015,05/03/2015,Populus 2,377,397,99,59,5,66,191,9
03/03/2015,06/03/2015,Opinium,487,487,109,41,5,102,195,20
06/03/2015,08/03/2015,Ashcroft 2,167,153,22,29,6,42,80,7
06/03/2015,08/03/2015,Populus 2,387,398,104,58,5,68,184,11
08/03/2015,11/03/2015,Ipsos MORI,186,190,46,22,2,33,75,3
11/03/2015,12/03/2015,Populus 2,355,391,100,57,3,71,213,19
11/03/2015,13/03/2015,ComRes Online,434,460,88,56,7,50,211,5
10/03/2015,12/03/2015,Opinium,477,503,98,50,10,99,200,14
13/03/2015,15/03/2015,Populus 2,415,415,100,59,3,56,184,7
13/03/2015,15/03/2015,Ashcroft 2,157,149,40,26,3,42,82,14
13/03/2015,16/03/2015,TNS,185,181,41,24,0,23,94,18
13/03/2015,15/03/2015,ICM,172,173,28,25,4,22,47,12
18/03/2015,19/03/2015,Populus 2,368,404,104,58,5,59,199,9
18/03/2015,19/03/2015,Opinium,522,475,105,42,8,91,200,14
20/03/2015,21/03/2015,Survation,237,272,67,36,5,24,137,11
20/03/2015,22/03/2015,Populus 2,382,408,108,55,2,65,199,12
20/03/2015,22/03/2015,Ashcroft 2,170,169,39,33,6,28,66,10
20/03/2015,22/03/2015,ComRes,207,205,45,22,4,39,61,4
24/03/2015,25/03/2015,Survation,259,271,62,37,5,33,149,3
25/03/2015,26/03/2015,Populus 2,389,415,118,59,6,67,198,9
24/03/2015,25/03/2015,Opinium,502,493,121,47,7,107,188,10
24/03/2015,26/03/2015,Panelbase,234,233,36,24,7,41,102,13
27/03/2015,29/03/2015,Populus 2,407,415,92,56,4,51,181,8
27/03/2015,29/03/2015,Ashcroft 2,206,195,34,23,7,42,61,7
28/03/2015,29/03/2015,ComRes,230,202,60,23,4,33,76,11
26/03/2015,30/03/2015,TNS,189,182,44,23,7,27,91,13
31/03/2015,02/04/2015,Panelbase,239,238,52,25,7,34,122,10
31/03/2015,01/04/2015,Populus 2,407,432,114,57,6,68,190,5
02/04/2015,03/04/2015,Opinium,494,500,108,60,6,97,214,16
02/04/2015,03/04/2015,Survation,313,334,79,47,6,26,186,3
02/04/2015,06/04/2015,Populus 2,381,401,122,53,4,53,187,9
02/04/2015,07/04/2015,TNS,189,210,48,24,4,27,119,11
08/04/2015,09/04/2015,Survation,278,326,78,39,9,41,141,7
08/04/2015,09/04/2015,Populus 2,378,406,95,56,8,74,201,10
07/04/2015,08/04/2015,ComRes,224,221,79,27,4,25,79,7
07/04/2015,09/04/2015,Panelbase,229,272,57,23,6,26,116,12
08/04/2015,09/04/2015,Opinium,553,516,110,63,8,93,166,15
10/04/2015,12/04/2015,Populus 2,423,432,98,64,5,70,188,8
10/04/2015,12/04/2015,ICM,223,188,39,19,6,42,46,4
10/04/2015,12/04/2015,Ashcroft 2,171,175,45,23,9,31,71,9
09/04/2015,13/04/2015,TNS,213,202,59,26,3,33,88,7
12/04/2015,15/04/2015,Ipsos MORI,208,222,47,35,7,54,64,0
15/04/2015,16/04/2015,Panelbase,241,254,61,27,8,27,119,3
15/04/2015,16/04/2015,Populus 2,420,427,114,63,5,56,180,8
16/04/2015,17/04/2015,Survation,368,354,66,49,2,33,181,13
16/04/2015,17/04/2015,Opinium,540,485,127,59,11,84,197,17
17/04/2015,19/04/2015,Populus 2,422,445,115,58,8,57,192,9
17/04/2015,19/04/2015,Ashcroft 2,184,169,52,35,6,25,73,10
17/04/2015,19/04/2015,ICM,193,180,45,33,9,28,64,5
16/04/2015,20/04/2015,TNS,196,211,48,24,3,31,93,14
21/04/2015,23/04/2015,Panelbase,243,268,55,32,6,35,136,8
22/04/2015,23/04/2015,Populus 2,410,440,107,51,8,66,183,5
22/04/2015,23/04/2015,Survation,320,279,92,42,3,43,174,4
21/04/2015,22/04/2015,ComRes,234,212,53,32,3,32,68,21
21/04/2015,24/04/2015,Opinium,512,490,128,57,3,91,197,15
24/04/2015,25/04/2015,Survation,273,241,66,42,3,32,153,5
24/04/2015,26/04/2015,Populus 2,430,469,107,57,4,62,180,6
24/04/2015,26/04/2015,Ashcroft 2,201,167,48,25,3,42,63,7
24/04/2015,26/04/2015,ICM,195,177,37,28,2,31,75,3
23/04/2015,27/04/2015,TNS,206,202,44,20,5,29,93,8
26/04/2015,29/04/2015,Ipsos MORI,237,201,56,41,5,51,66,11
27/04/2015,28/04/2015,ComRes,235,236,51,23,4,41,78,14
29/04/2015,30/04/2015,Populus 2,446,450,108,58,6,56,202,8
29/04/2015,30/04/2015,Panelbase,243,259,60,37,9,29,130,4
30/04/2015,01/05/2015,Survation,307,314,80,35,7,28,147,5
28/04/2015,30/04/2015,ComRes,228,224,56,27,6,48,87,11
28/04/2015,30/04/2015,Opinium,539,529,119,64,9,86,205,8
01/05/2015,02/05/2015,Survation,561,607,134,83,10,76,299,8
01/05/2015,03/05/2015,Populus 2,463,465,126,61,6,62,175,6
01/05/2015,03/05/2015,Ashcroft 2,168,162,54,26,3,40,64,15
03/05/2015,05/05/2015,ComRes,254,233,63,35,4,32,105,4
04/05/2015,05/05/2015,Survation,423,437,110,56,4,51,205,8
04/05/2015,05/05/2015,Opinium,833,822,186,93,11,154,276,24
30/04/2015,04/05/2015,TNS,213,208,53,25,4,39,93,9
04/05/2015,06/05/2015,Panelbase,766,834,208,116,25,119,410,13
05/05/2015,06/05/2015,ComRes,249,245,62,35,4,30,85,5
04/05/2015,06/05/2015,Survation,1153,1140,292,177,11,125,564,29
03/05/2015,06/05/2015,ICM,387,412,88,62,10,42,141,14
05/05/2015,06/05/2015,Ashcroft 2,567,572,164,91,14,117,200,28
05/05/2015,06/05/2015,Ipsos MORI,309,300,69,43,3,43,94,2
05/05/2015,06/05/2015,Populus 2,770,773,228,95,14,121,322,28
